1000, 0.02766, 0.005
2000, 0.01756, 0.005
3000, 0.01526, 0.005
4000, 0.01317, 0.005
5000, 0.01184, 0.005
6000, 0.01146, 0.005
7000, 0.01075, 0.005
8000, 0.01021, 0.005
9000, 0.00958, 0.005
10000, 0.00939, 0.005
11000, 0.01113, 0.02
12000, 0.00936, 0.02
13000, 0.00838, 0.02
14000, 0.00745, 0.02
15000, 0.00678, 0.02
16000, 0.00619, 0.02
17000, 0.00559, 0.02
18000, 0.00527, 0.02
19000, 0.00473, 0.02
20000, 0.00464, 0.02
21000, 0.00444, 0.02
22000, 0.00417, 0.02
23000, 0.00397, 0.02
24000, 0.00393, 0.02
25000, 0.00372, 0.02
26000, 0.00362, 0.02
27000, 0.00348, 0.02
28000, 0.00327, 0.02
29000, 0.00329, 0.02
30000, 0.00327, 0.02
31000, 0.00306, 0.02
32000, 0.00294, 0.02
33000, 0.00286, 0.02
34000, 0.00277, 0.02
35000, 0.00276, 0.02
36000, 0.00272, 0.02
37000, 0.00272, 0.02
38000, 0.00266, 0.02
39000, 0.00265, 0.02
40000, 0.00260, 0.02
41000, 0.00247, 0.02
42000, 0.00250, 0.02
43000, 0.00245, 0.02
44000, 0.00241, 0.02
45000, 0.00238, 0.02
46000, 0.00234, 0.02
47000, 0.00234, 0.02
48000, 0.00232, 0.02
49000, 0.00225, 0.02
50000, 0.00219, 0.02
51000, 0.00228, 0.02
52000, 0.00217, 0.02
53000, 0.00223, 0.02
54000, 0.00219, 0.02
55000, 0.00212, 0.02
56000, 0.00210, 0.02
57000, 0.00209, 0.02
58000, 0.00208, 0.02
59000, 0.00206, 0.02
60000, 0.00214, 0.02
61000, 0.00200, 0.02
62000, 0.00202, 0.02
63000, 0.00195, 0.02
64000, 0.00194, 0.02
65000, 0.00193, 0.02
66000, 0.00192, 0.02
67000, 0.00193, 0.02
68000, 0.00196, 0.02
69000, 0.00193, 0.02
70000, 0.00188, 0.02
